PAIS,ESTADO,CIDADE,CODIGO IBGE CIDADE,CODIGO IBGE ESTADO,REGIAO,POP 2010 IBGE,DATA CRIAÇÃO,INSTITUIÇÃO,SIGLA,MODELO,COORDENADOR,CURSO/ÁREA,MODELO/NUMERO,NOME,CONTATO,E-MAIL,FACEBOOK ,INSTAGRAM,SITE,YOUTUBE,DISCIPLINA CORRELATIVA,DISCIPLINA CURRICULAR,NATUREZA,Gênese e Propriedade do Solo,Gênese e Morfologia do Solo,Gênese e Classificação do Solo,Gênese do Solo,Classificação Solo,Propriedades do Solo,Pedologia,Nutrição Mineral de Plantas,Fertilidade do Solo,Levantamento de Solo,Mecânica do Solo,Geologia,Manejo e Conservação do Solo e da Água,Física do Solo,Classificação do Solo,Manejo e Conservação do Solo ,"Uso, Manejo e Conservação do Solo",Fundamentos de Física dos Solos,Mineralogia,Química do Solo,Física do Solo,Solos do Semiárido,Elementos do Solo,Matéria Ôrganica do Solo,Atributos e Classificação do Solo,Introdução à Ciência do Solo,Ciência do Solo,Edafologia,Morfologia e Classificação do Solo,Conservação do Solo,Natureza e Propriedades do Solo,Pedologia Prática,"Contituição, Propriedades do Solo","Levantantamento, aptidão, manejo e conservação do solo",Edafologia Aplicada,Pedologia Aplicada,Manejo Ecológico do Solo,Caracteristica e Propriedade do Solo,Sistema Planta-Solo-Atmosfera,Geologia Aplicada a Solos,  Tecnologia do Solo,"Manejo, conservação e recuperação áreas degradadas",Solo 1,Solo 2,Fundamentos de Pedologia,Introdução à Ciência do Solo,Solos,Ciência do Solo I,Ciência do Solo II,Fundamentos de Ciência do Solo,Biologia do Solo,Classificação e Levantamento de Solo,Propriedades Físicas e Quimicas do Solo," Gênese, Morfologia e Classificação Solo",Manejo do Solo,Propriedades Físicas dos Solos,Facebook_N,INSTAGRAM_N,YOUTUBE_N,SITE_N
Brasil,PB,Sumé,2516300,25,Nordeste,"16060,00",3/14/2011,Universidade Federal de Campina Grande,UFCG,Federal,Adriana de Fátima Meira Vital,Eng. Biossitemas e tecnologia em Agroecologia,Federal,Projeto Solo na Escola / UFCG,sim,sim,sim,sim,sim,sim,sim,Eng. Biossistema - Física do Solo / Química do Solo / Gênese e Morfologia do Solo / - Tecnologia e Agroecologia - Solos do Semiárido / Pedologia / Classificação de Solo / ,obrigatória,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Brasil,PB,Areia,2501104,25,Nordeste,"23829,00",3/3/2015,Universidade Federal da Paraíba,UFPB,Federal,Bruno de Oliveira Dias,Zootecnia e Agronomia,Federal,Projeto Solo na Escola / UFPB,sim,sim,não,sim,não,não,sim, Elementos do Solo - Gênise e Morfologia do Solo / Classificação do Solo / Física do solo / Matéria Ôrganica do Solo / Manejo de Conservação Solo e Água / ,obrigatória,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brasil,PB,Pombal,2512101,25,Nordeste,"32110,00",5/20/2016,Universidade Federal de Campina Grande,UFCG,Federal,Jussara Silva Dantas,Agronomia ,Federal,Programa Solo na Escola / UFCG Pombal,sim,sim,sim,sim,sim,sim,sim,Fertilidade do Solo / Manejo e Conservação do Solo / Atributos e Classificação do Solo / Gênese do Solo e Morfologia / ,obrigatória,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Brasil,PE,Recife,2611606,26,Nordeste,"1537704,00",3/4/2013,Universidade Federal Rural de Pernambuco,UFRPE,Federal,Caroline Miranda Biondi,Agronomia,Federal,Projeto Massapê,sim,sim,não,sim,não,não,sim ,Introdução a Ciência do Solo / Ciência do solo / Física do Solo / Manejo e Conservação do Solo /  ,obrigatória,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brasil,PE,Recife,2611606,26,Nordeste,"1537704,00",2/1/2017,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco",IFPE,Instituto Federal,Manuella Vieira Barbosa Neto,Lic. Geografia ,Instituto Federal,Educação em Solos na Escola - Solo Aprender e Conservar / IFPE,sim,sim,sim,sim,sim,não,sim,Pedologia / Edafologia / ,obrigatória,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Brasil,PI,Teresina,2211001,22,Nordeste,"814230,00",6/4/2015,Universidade Estadual do Piauí,USEPI,Estadual,Maria Luzineide Gomes Paula,Lic. Geografia ,Estadual,Educação em Solos na Escola/ UESPI,sim,sim,sim,sim,não,não,não,Não se aplica / ,Não se aplica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Brasil,RN,Mossoró,2408003,24,Nordeste,"259815,00",8/1/2018,Universidade Federal Rural do Semi-Árido,UFERSA,Federal,Carolina Malala Martins Souza,Agronomia ,Federal,Programa Solos para Todos,sim,sim,não,sim,não,não,sim,Física do solo / Gênese e Morfologia do Solo /  Classificação Solo / ,obrigatória,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brasil,GO,Goiânia,5208707,52,Centro-Oeste,1.302.001,8/1/2016,Universidade Federal de Goiás,UFG,Federal,Glenio Guimarães Santos,Agronomia,Federal,Classificação de Solos,sim,sim,não,não,não,não,sim,Fertilidade do Solo / Física do Solo / Manejo e Conservação do Solo / Morfologia e Classificação do solo / ,obrigatória,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasil,GO,Palmeira de Goiás,5215702,52,Centro-Oeste,"23338,00",3/1/2013,Universidade Estadual de Goiás,UEG,Estadual,Adriana Aparecida Ribon,Agronomia,Estadual,Educação em Solos para Todos,sim,sim,não,não,não,não,sim,Geologia /  Mineralogia / Gênese e Morfologia do Solo / Física do Solo / Pedologia / Fertilidade do Solo / ,obrigatória,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brasil,GO,Goiânia,5208707,52,Centro-Oeste,"1302001,00",5/30/2019,Universidade Federal de Goiás,UFG,Federal,Andrelisa Santos de Jesus,Geografia ,Federal,Matiz: Colorindo Vidas com Solos,sim,sim,não,sim,não,sim,sim,Geologia / Pedologia / ,obrigatória,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
